event_id,game_id,home_team,away_team,home_team_id,away_team_id,home_is_d1,away_is_d1,filter_reason
401817195,401817195,St. Bonaventure Bonnies,Siena Saints,179,2561,True,True,KEEP_D1_VS_D1
401817254,401817254,NC State Wolfpack,UNC Greensboro Spartans,152,2430,True,True,KEEP_D1_VS_D1
401817466,401817466,Stanford Cardinal,Montana State Bobcats,24,147,True,True,KEEP_D1_VS_D1
401817519,401817519,Virginia Tech Hokies,Saint Joseph's Hawks,259,2603,True,True,KEEP_D1_VS_D1
401818549,401818549,Boston University Terriers,Brown Bears,104,225,True,True,KEEP_D1_VS_D1
401820597,401820597,Akron Zips,Penn State-Shenango Nittany Lions,2006,130195,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401820605,401820605,Georgetown Hoyas,Binghamton Bearcats,46,2066,True,True,KEEP_D1_VS_D1
401820615,401820615,Bryant Bulldogs,Dartmouth Big Green,2803,159,True,True,KEEP_D1_VS_D1
401822311,401822311,Indiana Hoosiers,Milwaukee Panthers,84,270,True,True,KEEP_D1_VS_D1
401822331,401822331,Valparaiso Beacons,Nicholls Colonels,2674,2447,True,True,KEEP_D1_VS_D1
401822736,401822736,VCU Rams,Saint Peter's Peacocks,2670,2612,True,True,KEEP_D1_VS_D1
401822759,401822759,South Florida Bulls,Coppin State Eagles,58,2154,True,True,KEEP_D1_VS_D1
401822995,401822995,Evansville Purple Aces,Middle Tennessee Blue Raiders,339,2393,True,True,KEEP_D1_VS_D1
401823023,401823023,Marquette Golden Eagles,Little Rock Trojans,269,2031,True,True,KEEP_D1_VS_D1
401823214,401823214,Bellarmine Knights,Hanover Panthers,91,2262,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823306,401823306,Pacific Tigers,Long Beach State Beach,279,299,True,True,KEEP_D1_VS_D1
401823394,401823394,Western Michigan Broncos,Purdue Fort Wayne Mastodons,2711,2870,True,True,KEEP_D1_VS_D1
401823442,401823442,Tennessee Volunteers,North Florida Ospreys,2633,2454,True,True,KEEP_D1_VS_D1
401823500,401823500,Seattle U Redhawks,Eastern Washington Eagles,2547,331,True,True,KEEP_D1_VS_D1
401823510,401823510,San Diego Toreros,Idaho Vandals,301,70,True,True,KEEP_D1_VS_D1
401823516,401823516,VMI Keydets,Virginia-Lynchburg Dragons,2678,3229,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401823809,401823809,Colorado State Rams,Cal Poly Mustangs,36,13,True,True,KEEP_D1_VS_D1
401824056,401824056,Oregon State Beavers,North Texas Mean Green,204,249,True,True,KEEP_D1_VS_D1
401824811,401824811,Houston Cougars,Oakland Golden Grizzlies,248,2473,True,True,KEEP_D1_VS_D1
401824848,401824848,Hawai'i Rainbow Warriors,Mississippi Valley State Delta Devils,62,2400,True,True,KEEP_D1_VS_D1
401824886,401824886,East Tennessee State Buccaneers,Northern Kentucky Norse,2193,94,True,True,KEEP_D1_VS_D1
401826726,401826726,San Francisco Dons,Portland State Vikings,2539,2502,True,True,KEEP_D1_VS_D1
401826758,401826758,New Hampshire Wildcats,Emmanuel (MA) Lions,160,2211,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401826908,401826908,Fresno State Bulldogs,UC San Diego Tritons,278,28,True,True,KEEP_D1_VS_D1
401826931,401826931,Utah State Aggies,Weber State Wildcats,328,2692,True,True,KEEP_D1_VS_D1
401826939,401826939,South Carolina Gamecocks,Presbyterian Blue Hose,2579,2506,True,True,KEEP_D1_VS_D1
401826947,401826947,Utah Valley Wolverines,Westminster (UT) Griffins,3084,224,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401826992,401826992,Longwood Lancers,James Madison Dukes,2344,256,True,True,KEEP_D1_VS_D1
401827004,401827004,Texas Southern Tigers,Samford Bulldogs,2640,2535,True,True,KEEP_D1_VS_D1
401827060,401827060,South Carolina Upstate Spartans,Bob Jones Bruins,2908,3243,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401827213,401827213,Texas State Bobcats,UTSA Roadrunners,326,2636,True,True,KEEP_D1_VS_D1
401827234,401827234,Missouri Tigers,Minnesota Golden Gophers,142,135,True,True,KEEP_D1_VS_D1
401827262,401827262,Marshall Thundering Herd,Elon Phoenix,276,2210,True,True,KEEP_D1_VS_D1
401827265,401827265,Oregon Ducks,South Dakota State Jackrabbits,2483,2571,True,True,KEEP_D1_VS_D1
401828282,401828282,Oral Roberts Golden Eagles,Tulsa Golden Hurricane,198,202,True,True,KEEP_D1_VS_D1
401828337,401828337,Kennesaw State Owls,Point University Skyhawks,338,2932,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828544,401828544,Vanderbilt Commodores,Eastern Kentucky Colonels,238,2198,True,True,KEEP_D1_VS_D1
401828734,401828734,North Carolina Central Eagles,Bluefield State Big Blues,2428,2073,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401828753,401828753,Bradley Braves,UT Martin Skyhawks,71,2630,True,True,KEEP_D1_VS_D1
401828918,401828918,Nevada Wolf Pack,Southern Illinois Salukis,2440,79,True,True,KEEP_D1_VS_D1
401829346,401829346,Southeast Missouri State Redhawks,Webster Gorloks,2546,2693,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401829461,401829461,North Dakota State Bison,St. Scholastica Saints,2449,375,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
401830348,401830348,Utah Tech Trailblazers,Manhattan Jaspers,3101,2363,True,True,KEEP_D1_VS_D1
401812262,401812262,Alabama Crimson Tide,Purdue Boilermakers,333,2509,True,True,KEEP_D1_VS_D1
401817155,401817155,Wichita State Shockers,Loyola Chicago Ramblers,2724,2350,True,True,KEEP_D1_VS_D1
401817221,401817221,Kansas State Wildcats,California Golden Bears,2306,25,True,True,KEEP_D1_VS_D1
401817444,401817444,West Virginia Mountaineers,Pittsburgh Panthers,277,221,True,True,KEEP_D1_VS_D1
401818368,401818368,Columbia Lions,UMass Lowell River Hawks,171,2349,True,True,KEEP_D1_VS_D1
401820807,401820807,East Carolina Pirates,Elizabeth City State Vikings,151,2207,True,False,EXCLUDED_AWAY_NON_D1_OR_UNKNOWN
