event_id,team_id,game_datetime_utc,home_away,h1_pts,h2_pts,h1_pts_against,h2_pts_against,h1_margin,h2_margin,h1_ortg,h2_ortg,h1_drtg,h2_drtg,h1_pts_l5,h2_pts_l5,h1_pts_against_l5,h2_pts_against_l5,h1_margin_l5,h2_margin_l5,h1_pts_l10,h2_pts_l10,h1_pts_against_l10,h2_pts_against_l10,h1_margin_l10,h2_margin_l10,h2_comeback_rate,pipeline_run_id
401812417,2441,2026-02-27T00:00Z,away,,,,,,,,,,,39.67,32.0,36.67,30.33,3.0,1.67,39.67,32.0,36.67,30.33,3.0,1.67,0.667,22422478712
401808914,2443,2026-02-17T00:30Z,away,39.0,39.0,28.0,36.0,11.0,3.0,123.9,123.9,88.9,114.4,,,,,,,,,,,,,,22422478712
401808915,2443,2026-02-22T00:00Z,away,32.0,45.0,29.0,42.0,3.0,3.0,92.9,130.7,84.2,122.0,39.0,39.0,28.0,36.0,11.0,3.0,39.0,39.0,28.0,36.0,11.0,3.0,,22422478712
401808916,2443,2026-02-24T00:30Z,away,31.0,46.0,23.0,50.0,8.0,-4.0,91.8,136.2,68.1,148.0,35.5,42.0,28.5,39.0,7.0,3.0,35.5,42.0,28.5,39.0,7.0,3.0,,22422478712
401808930,2447,2026-02-17T01:00Z,away,29.0,39.0,35.0,37.0,-6.0,2.0,85.8,115.5,103.6,109.5,,,,,,,,,,,,,,22422478712
401808931,2447,2026-02-21T23:00Z,away,34.0,44.0,39.0,42.0,-5.0,2.0,101.7,131.7,116.7,125.7,29.0,39.0,35.0,37.0,-6.0,2.0,29.0,39.0,35.0,37.0,-6.0,2.0,,22422478712
401808932,2447,2026-02-24T00:00Z,away,20.0,33.0,23.0,29.0,-3.0,4.0,62.4,103.0,71.8,90.5,31.5,41.5,37.0,39.5,-5.5,2.0,31.5,41.5,37.0,39.5,-5.5,2.0,,22422478712
401812071,2448,2026-02-20T00:00Z,home,26.0,35.0,41.0,33.0,-15.0,2.0,83.1,111.8,131.0,105.4,,,,,,,,,,,,,,22422478712
401812077,2448,2026-02-22T00:00Z,away,53.0,49.0,41.0,41.0,12.0,8.0,157.6,145.7,122.0,122.0,26.0,35.0,41.0,33.0,-15.0,2.0,26.0,35.0,41.0,33.0,-15.0,2.0,,22422478712
401812084,2448,2026-02-27T00:00Z,away,,,,,,,,,,,39.5,42.0,41.0,37.0,-1.5,5.0,39.5,42.0,41.0,37.0,-1.5,5.0,,22422478712
