rank,team,team_id,conference,conf_rank,record,home_record,away_record,cage_em,cage_o,cage_d,cage_t,barthag,wab,expected_win_pct,actual_win_pct,luck,sos,q1_record,q2_record,q3_record,q4_record,q1_wpct,best_win_net,bad_loss_count,cage_power_index,eff_grade,resume_score,suffocation,momentum,clutch_rating,consistency_score,off_identity,tourney_readiness,star_risk,dna_score,floor_em,ceiling_em,trend_arrow,trend_numeric,offensive_archetype,home_road_delta_pct,regression_risk,star_danger,three_pct_gap,efg_pct,opp_efg_pct,tov_pct,orb_pct,drb_pct,ftr,three_par,three_pct,ft_pct,close_wpct,net_rtg_l5,net_rtg_l10,updated_at
21,Texas A&M-Corpus Christi Islanders,357,Horizon League,7,0-0,0-0,0-0,7.8,112.7,104.9,64.8,0.6953,,0.693,0.0,0.0,-103.0,,,,,,,,66.2,B+,50.0,73.2,0.0,0.0,100.0,44.3,50.3,0.0,53.8,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,58.0,,24.7,31.2,68.8,40.0,16.0,50.0,75.0,,,,2026-02-24 02:53 PST
22,New Orleans Privateers,2443,Horizon League,8,0-0,0-0,0-0,5.9,114.0,108.1,67.6,0.6482,,0.649,0.0,0.0,-103.0,,,,,,,,58.0,B,50.0,64.2,0.0,0.0,100.0,50.6,47.5,0.0,49.7,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,51.9,,22.2,32.4,67.6,44.4,29.6,25.0,87.5,,,,2026-02-24 02:53 PST
23,Detroit Mercy Titans,2174,Horizon League,9,0-0,0-0,0-0,5.8,107.7,101.9,68.7,0.654,,0.655,0.0,0.0,-103.0,,,,,,,,57.0,B,50.0,61.7,0.0,0.0,100.0,43.3,45.2,0.0,48.2,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,47.3,,17.5,26.5,73.5,39.3,23.2,38.5,95.5,,,,2026-02-24 02:53 PST
24,Lehigh Mountain Hawks,2329,22,3,0-0,0-0,0-0,5.2,121.3,116.1,57.7,0.6234,,0.623,0.0,0.0,-103.0,,,,,,,,50.3,B,50.0,53.3,0.0,0.0,100.0,24.4,44.5,0.0,62.9,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,58.0,,17.3,28.6,71.4,26.0,38.0,42.1,92.3,,,,2026-02-24 02:53 PST
25,North Carolina Tar Heels,153,Big East,1,0-0,0-0,0-0,4.5,116.0,111.5,66.4,0.6118,,0.612,0.0,0.0,-103.0,,,,,,,,49.6,B,50.0,53.5,0.0,0.0,100.0,35.6,52.0,0.0,82.1,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,60.7,,13.6,21.9,78.1,33.9,39.3,36.4,47.4,,,,2026-02-24 02:53 PST
26,Marist Red Foxes,2368,Metro Atlantic Athletic Conference,5,0-0,0-0,0-0,3.0,97.5,94.5,66.6,0.5889,,0.589,0.0,0.0,-103.0,,,,,,,,42.7,B,50.0,43.8,0.0,0.0,100.0,0.1,35.3,0.0,53.4,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,45.5,,6.0,19.4,80.6,9.0,55.2,35.1,66.7,,,,2026-02-24 02:53 PST
27,Merrimack Warriors,2771,Metro Atlantic Athletic Conference,6,0-0,0-0,0-0,2.7,120.0,117.3,73.3,0.5651,,0.566,0.0,0.0,-103.0,,,,,,,,36.0,B,50.0,34.5,0.0,0.0,100.0,50.6,49.9,0.0,85.4,-12.0,12.0,→ FLAT,0.0,perimeter,0.0,0,0,,50.0,,5.5,18.8,81.2,44.4,52.4,33.3,89.3,,,,2026-02-24 02:53 PST
28,Nicholls Colonels,2447,Horizon League,10,0-0,0-0,0-0,1.6,82.7,81.1,64.1,0.5559,,0.555,0.0,0.0,-103.0,,,,,,,,55.3,B-,50.0,71.5,0.0,0.0,100.0,3.7,29.5,0.0,6.3,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,40.2,,21.8,34.1,65.9,11.5,45.9,17.9,57.1,,,,2026-02-24 02:53 PST
29,Houston Christian Huskies,2277,Horizon League,10,0-0,0-0,0-0,1.6,108.5,106.9,63.6,0.5426,,0.542,0.0,0.0,-103.0,,,,,,,,36.6,B-,50.0,38.5,0.0,0.0,100.0,22.4,33.8,0.0,42.1,-12.0,12.0,→ FLAT,0.0,balanced,0.0,0,0,,48.4,,17.3,44.1,55.9,24.6,31.1,26.3,66.7,,,,2026-02-24 02:53 PST
30,North Texas Mean Green,249,Atlantic Coast Conference,4,0-0,0-0,0-0,1.6,114.5,112.9,63.8,0.5404,,0.54,0.0,0.0,-103.0,,,,,,,,38.2,B-,50.0,41.8,0.0,0.0,100.0,62.4,46.8,0.0,62.5,-12.0,12.0,→ FLAT,0.0,interior,0.0,0,0,,46.4,,14.1,32.5,67.5,52.7,32.7,27.8,75.9,,,,2026-02-24 02:53 PST
