game_id,game_datetime_utc,home_team,away_team,pred_spread,actual_margin,spread_error,abs_error,covered,correct_side,model_confidence,game_tier,home_conference,away_conference,total_line,pred_total,actual_total,conference_name,pipeline_run_id
401828243,2026-02-22 21:00:00+00:00,Tulsa Golden Hurricane,UTSA Roadrunners,-9.27,26.0,16.73,16.73,True,True,0.899,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,158.5,148.5,174.0,Atlantic Coast Conference,20260227_014011
401828241,2026-02-22 21:00:00+00:00,North Texas Mean Green,Florida Atlantic Owls,-6.21,1.0,-5.21,5.21,False,True,0.95,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,139.5,147.2,145.0,Atlantic Coast Conference,20260227_014011
401812087,2026-02-26 16:00:00+00:00,Hampton Pirates,Charleston Cougars,3.77,-14.0,-10.23,10.23,False,True,0.524,UNKNOWN,Western Athletic Conference,Western Athletic Conference,140.5,137.6,156.0,Western Athletic Conference,20260227_014011
401828447,2026-02-26 22:00:00+00:00,St. Bonaventure Bonnies,Rhode Island Rams,-2.94,18.0,15.06,15.06,True,True,0.539,HIGH,Big Ten,Big Ten,144.5,144.2,170.0,Big Ten,20260227_014011
401812169,2026-02-26 23:00:00+00:00,Binghamton Bearcats,New Hampshire Wildcats,-3.79,2.0,-1.79,1.79,False,True,0.404,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,141.5,135.8,128.0,Atlantic Coast Conference,20260227_014011
401812166,2026-02-26 23:00:00+00:00,UMBC Retrievers,Bryant Bulldogs,-15.34,12.0,-3.34,3.34,False,True,0.486,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,139.5,142.4,128.0,Atlantic Coast Conference,20260227_014011
401827107,2026-02-26 23:30:00+00:00,Grambling Tigers,Bethune-Cookman Wildcats,-0.84,-2.0,-2.84,2.84,False,False,0.425,UNKNOWN,Southwestern Athletic Conference,Southwestern Athletic Conference,141.5,147.2,126.0,Southwestern Athletic Conference,20260227_014011
401812167,2026-02-26 23:30:00+00:00,UAlbany Great Danes,Maine Black Bears,-3.87,-13.0,-16.87,16.87,False,False,0.509,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,135.5,135.8,105.0,Atlantic Coast Conference,20260227_014011
401828246,2026-02-27 00:00:00+00:00,Florida Atlantic Owls,Temple Owls,1.07,1.0,2.0700000000000003,2.0700000000000003,True,False,0.49,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,145.5,141.8,89.0,Atlantic Coast Conference,20260227_014011
401823961,2026-02-27 00:00:00+00:00,Charleston Southern Buccaneers,Winthrop Eagles,-5.63,6.0,0.3700000000000001,0.3700000000000001,True,True,0.455,UNKNOWN,6,6,162.5,165.6,78.0,6,20260227_014011
401823960,2026-02-27 00:00:00+00:00,Radford Highlanders,South Carolina Upstate Spartans,-3.83,3.0,-0.8300000000000001,0.8300000000000001,False,True,0.524,UNKNOWN,6,6,154.5,155.7,71.0,6,20260227_014011
401823959,2026-02-27 00:00:00+00:00,Gardner-Webb Runnin' Bulldogs,UNC Asheville Bulldogs,4.93,-1.0,3.9299999999999997,3.9299999999999997,True,True,0.471,UNKNOWN,6,6,145.5,138.1,81.0,6,20260227_014011
401823958,2026-02-27 00:00:00+00:00,Presbyterian Blue Hose,High Point Panthers,6.68,-10.0,-3.3200000000000003,3.3200000000000003,False,True,0.521,UNKNOWN,6,6,151.5,159.9,80.0,6,20260227_014011
401812658,2026-02-27 00:00:00+00:00,Central Connecticut Blue Devils,Mercyhurst Lakers,2.39,-2.0,0.3900000000000001,0.3900000000000001,True,True,0.51,MID,Sun Belt Conference,Sun Belt Conference,138.5,144.1,94.0,Sun Belt Conference,20260227_014011
401812417,2026-02-27 00:00:00+00:00,Wagner Seahawks,New Haven Chargers,2.02,-3.0,-0.98,0.98,False,True,0.493,MID,Sun Belt Conference,Sun Belt Conference,130.5,125.3,83.0,Sun Belt Conference,20260227_014011
401812399,2026-02-27 00:00:00+00:00,Stonehill Skyhawks,Saint Francis Red Flash,2.01,19.0,21.009999999999998,21.009999999999998,True,False,0.516,MID,Sun Belt Conference,Sun Belt Conference,140.5,126.6,107.0,Sun Belt Conference,20260227_014011
401812378,2026-02-27 00:00:00+00:00,Long Island University Sharks,Chicago State Cougars,-2.46,-5.0,-7.46,7.46,False,False,0.457,MID,Sun Belt Conference,Sun Belt Conference,139.5,136.1,69.0,Sun Belt Conference,20260227_014011
401812331,2026-02-27 00:00:00+00:00,Le Moyne Dolphins,Fairleigh Dickinson Knights,0.13,1.0,1.13,1.13,True,False,0.501,MID,Sun Belt Conference,Sun Belt Conference,139.5,138.0,83.0,Sun Belt Conference,20260227_014011
401812168,2026-02-27 00:00:00+00:00,Vermont Catamounts,UMass Lowell River Hawks,-1.02,1.0,-0.020000000000000018,0.020000000000000018,False,True,0.438,UNKNOWN,Atlantic Coast Conference,Atlantic Coast Conference,146.5,152.0,71.0,Atlantic Coast Conference,20260227_014011
401812086,2026-02-27 00:00:00+00:00,Drexel Dragons,Campbell Fighting Camels,-3.15,0.0,-3.15,3.15,False,False,0.491,UNKNOWN,Western Athletic Conference,Western Athletic Conference,141.5,145.4,54.0,Western Athletic Conference,20260227_014011
401812085,2026-02-27 00:00:00+00:00,Towson Tigers,Elon Phoenix,-0.97,-2.0,-2.9699999999999998,2.9699999999999998,False,False,0.513,UNKNOWN,Western Athletic Conference,Western Athletic Conference,143.5,140.9,66.0,Western Athletic Conference,20260227_014011
401812084,2026-02-27 00:00:00+00:00,UNC Wilmington Seahawks,North Carolina A&T Aggies,-6.98,18.0,11.02,11.02,True,True,0.511,UNKNOWN,Western Athletic Conference,Western Athletic Conference,146.5,147.0,70.0,Western Athletic Conference,20260227_014011
401812083,2026-02-27 00:00:00+00:00,Monmouth Hawks,Stony Brook Seawolves,1.25,11.0,12.25,12.25,True,False,0.511,UNKNOWN,Western Athletic Conference,Western Athletic Conference,143.5,148.2,99.0,Western Athletic Conference,20260227_014011
401812082,2026-02-27 00:00:00+00:00,William & Mary Tribe,Northeastern Huskies,-12.52,2.0,-10.52,10.52,False,True,0.465,UNKNOWN,Western Athletic Conference,Western Athletic Conference,164.5,150.2,70.0,Western Athletic Conference,20260227_014011
401809386,2026-02-27 00:00:00+00:00,Chattanooga Mocs,UNC Greensboro Spartans,2.56,-1.0,1.56,1.56,True,True,0.458,MID,Colonial Athletic Association,Colonial Athletic Association,156.5,156.5,75.0,Colonial Athletic Association,20260227_014011
401807762,2026-02-27 00:00:00+00:00,Jacksonville Dolphins,Stetson Hatters,-2.58,10.0,7.42,7.42,True,True,0.51,MID,Missouri Valley Conference,Missouri Valley Conference,139.5,144.4,86.0,Missouri Valley Conference,20260227_014011
401807760,2026-02-27 00:00:00+00:00,North Florida Ospreys,Florida Gulf Coast Eagles,1.29,-6.0,-4.71,4.71,False,True,0.493,MID,Missouri Valley Conference,Missouri Valley Conference,161.5,152.2,66.0,Missouri Valley Conference,20260227_014011
401804950,2026-02-27 00:00:00+00:00,Jacksonville State Gamecocks,Delaware Blue Hens,-0.83,-4.0,-4.83,4.83,False,False,0.457,MID,Missouri Valley Conference,Missouri Valley Conference,133.5,145.6,54.0,Missouri Valley Conference,20260227_014011
401804949,2026-02-27 00:00:00+00:00,Kennesaw State Owls,Liberty Flames,-5.24,4.0,-1.2400000000000002,1.2400000000000002,False,True,0.421,MID,Missouri Valley Conference,Missouri Valley Conference,153.5,153.4,78.0,Missouri Valley Conference,20260227_014011
401804948,2026-02-27 00:30:00+00:00,Louisiana Tech Bulldogs,Missouri State Bears,0.69,1.0,1.69,1.69,True,False,0.501,MID,Missouri Valley Conference,Missouri Valley Conference,137.5,146.7,63.0,Missouri Valley Conference,20260227_014011
401804946,2026-02-27 00:30:00+00:00,Middle Tennessee Blue Raiders,UTEP Miners,-5.73,11.0,5.27,5.27,True,True,0.489,MID,Missouri Valley Conference,Missouri Valley Conference,139.5,148.4,49.0,Missouri Valley Conference,20260227_014011
401804945,2026-02-27 00:30:00+00:00,Western Kentucky Hilltoppers,New Mexico State Aggies,-1.25,18.0,16.75,16.75,True,True,0.409,MID,Missouri Valley Conference,Missouri Valley Conference,151.5,153.7,60.0,Missouri Valley Conference,20260227_014011
401825543,2026-02-27 01:00:00+00:00,Purdue Boilermakers,Michigan State Spartans,-10.29,7.0,-3.289999999999999,3.289999999999999,False,True,0.451,HIGH,Pac-12,Pac-12,142.5,156.3,19.0,Pac-12,20260227_014011
401818435,2026-02-27 01:00:00+00:00,Oral Roberts Golden Eagles,Denver Pioneers,8.4,6.0,14.4,14.4,True,False,0.41,HIGH,Big Ten,Big Ten,155.5,152.7,16.0,Big Ten,20260227_014011
401809387,2026-02-27 01:00:00+00:00,Samford Bulldogs,VMI Keydets,-10.98,8.0,-2.9800000000000004,2.9800000000000004,False,True,0.518,MID,Colonial Athletic Association,Colonial Athletic Association,154.5,150.9,12.0,Colonial Athletic Association,20260227_014011
401806504,2026-02-27 01:00:00+00:00,Little Rock Trojans,Morehead State Eagles,3.23,0.0,3.23,3.23,True,False,0.472,LOW,Southland Conference,Southland Conference,140.5,143.0,0.0,Southland Conference,20260227_014011
401805206,2026-02-27 01:00:00+00:00,Utah Valley Wolverines,Tarleton State Texans,-8.45,-1.0,-9.45,9.45,False,False,0.487,LOW,Atlantic Sun Conference,Atlantic Sun Conference,141.5,133.8,3.0,Atlantic Sun Conference,20260227_014011
401858739,2026-02-24 23:00:00+00:00,New Haven Chargers,Saint Francis Red Flash,-3.15,-6.0,-9.15,9.15,False,False,0.43,MID,Sun Belt Conference,Sun Belt Conference,,141.1,140.0,Sun Belt Conference,20260227_014011
401825538,2026-02-24 23:30:00+00:00,Rutgers Scarlet Knights,Washington Huskies,-3.15,-7.0,-10.15,10.15,False,False,0.43,HIGH,Pac-12,Pac-12,143.5,121.0,151.0,Pac-12,20260227_014011
401808689,2026-02-25 00:00:00+00:00,Marshall Thundering Herd,Old Dominion Monarchs,-3.15,9.0,5.85,5.85,True,True,0.34,UNKNOWN,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,,156.0,185.0,Mid-Eastern Athletic Conference,20260227_014011
401820767,2026-02-25 00:00:00+00:00,Notre Dame Fighting Irish,Duke Blue Devils,-3.15,-44.0,-47.15,47.15,False,False,0.43,HIGH,Big East,Big East,139.5,136.0,156.0,Big East,20260227_014011
401827702,2026-02-25 00:00:00+00:00,Oklahoma State Cowboys,West Virginia Mountaineers,-3.15,7.0,3.85,3.85,True,True,0.43,UNKNOWN,Southeastern Conference,Southeastern Conference,141.5,122.6,175.0,Southeastern Conference,20260227_014011
401808260,2026-02-25 00:00:00+00:00,South Carolina Gamecocks,Kentucky Wildcats,-3.15,-9.0,-12.15,12.15,False,False,0.36,LOW,Patriot League,Patriot League,148.5,171.0,135.0,Patriot League,20260227_014011
401827704,2026-02-25 00:00:00+00:00,Texas Tech Red Raiders,Cincinnati Bearcats,-3.15,12.0,8.85,8.85,True,True,0.43,UNKNOWN,Southeastern Conference,Southeastern Conference,141.5,183.9,148.0,Southeastern Conference,20260227_014011
401814584,2026-02-25 00:00:00+00:00,Toledo Rockets,Northern Illinois Huskies,-3.15,10.0,6.85,6.85,True,True,0.43,LOW,Mid-American Conference,Mid-American Conference,,159.1,148.0,Mid-American Conference,20260227_014011
401808691,2026-02-25 00:00:00+00:00,Troy Trojans,Louisiana Ragin' Cajuns,-3.15,19.0,15.85,15.85,True,True,0.43,UNKNOWN,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,,120.9,137.0,Mid-Eastern Athletic Conference,20260227_014011
401808688,2026-02-25 00:30:00+00:00,Georgia State Panthers,Coastal Carolina Chanticleers,-3.15,-5.0,-8.15,8.15,False,False,0.43,UNKNOWN,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,,143.7,147.0,Mid-Eastern Athletic Conference,20260227_014011
401806502,2026-02-25 00:30:00+00:00,Morehead State Eagles,Southern Indiana Screaming Eagles,-3.15,1.0,-2.15,2.15,False,True,0.43,LOW,Southland Conference,Southland Conference,,151.4,127.0,Southland Conference,20260227_014011
401830222,2026-02-25 01:00:00+00:00,UIC Flames,Bradley Braves,-3.15,7.0,3.85,3.85,True,True,0.43,LOW,Ohio Valley Conference,Ohio Valley Conference,,141.1,179.0,Ohio Valley Conference,20260227_014011
401808690,2026-02-25 01:30:00+00:00,Arkansas State Red Wolves,Southern Miss Golden Eagles,-3.15,5.0,1.85,1.85,True,True,0.36,UNKNOWN,Mid-Eastern Athletic Conference,Mid-Eastern Athletic Conference,,188.3,173.0,Mid-Eastern Athletic Conference,20260227_014011
401825537,2026-02-25 01:30:00+00:00,Michigan Wolverines,Minnesota Golden Gophers,-3.15,10.0,6.85,6.85,True,True,0.43,HIGH,Pac-12,Pac-12,144.5,143.9,144.0,Pac-12,20260227_014011
401820573,2026-02-25 02:00:00+00:00,Air Force Falcons,San José State Spartans,-3.15,-6.0,-9.15,9.15,False,False,0.43,UNKNOWN,Independents,Independents,,135.1,166.0,Independents,20260227_014011
401827700,2026-02-25 02:00:00+00:00,Baylor Bears,Arizona Wildcats,-3.15,-7.0,-10.15,10.15,False,False,0.43,UNKNOWN,Southeastern Conference,Southeastern Conference,151.5,146.0,167.0,Southeastern Conference,20260227_014011
401823832,2026-02-25 02:00:00+00:00,Boise State Broncos,Wyoming Cowboys,-3.15,10.0,6.85,6.85,True,True,0.43,UNKNOWN,Independents,Independents,,154.3,134.0,Independents,20260227_014011
401828935,2026-02-25 02:00:00+00:00,Colorado State Rams,Fresno State Bulldogs,-3.15,4.0,0.8500000000000001,0.8500000000000001,True,True,0.4,UNKNOWN,Independents,Independents,,161.0,144.0,Independents,20260227_014011
401820766,2026-02-25 02:00:00+00:00,Florida State Seminoles,Miami Hurricanes,-3.15,-10.0,-13.15,13.15,False,False,0.43,HIGH,Big East,Big East,160.5,152.7,156.0,Big East,20260227_014011
401808257,2026-02-25 02:00:00+00:00,Missouri Tigers,Tennessee Volunteers,-3.15,4.0,0.8500000000000001,0.8500000000000001,True,True,0.43,LOW,Patriot League,Patriot League,143.5,154.6,142.0,Patriot League,20260227_014011
