event_id,game_datetime_utc,home_team_id,away_team_id,home_team_name,away_team_name,book,opening_spread,closing_spread,spread_line,opening_total,closing_total,total_line,moneyline_home,moneyline_away,source,source_file,source_priority,captured_at_utc,line_timestamp_utc,market_status
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines_master.csv,4,2026-03-08 20:36:39.892350+00:00,2026-03-08 20:36:39.892350+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 19:31:17.947090+00:00,2026-03-08 19:31:17.947090+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines.csv,2,2026-03-08 19:31:17.947090+00:00,2026-03-08 19:31:17.947090+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines_master.csv,4,2026-03-08 19:31:17.947090+00:00,2026-03-08 19:31:17.947090+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 18:54:06.225638+00:00,2026-03-08 18:54:06.225638+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines.csv,2,2026-03-08 18:54:06.225638+00:00,2026-03-08 18:54:06.225638+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,136.5,136.5,,,ESPN,market_lines_master.csv,4,2026-03-08 18:54:06.225638+00:00,2026-03-08 18:54:06.225638+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 17:31:42.123297+00:00,2026-03-08 17:31:42.123297+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines.csv,2,2026-03-08 17:31:42.123297+00:00,2026-03-08 17:31:42.123297+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines_master.csv,4,2026-03-08 17:31:42.123297+00:00,2026-03-08 17:31:42.123297+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 16:40:10.238314+00:00,2026-03-08 16:40:10.238314+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines.csv,2,2026-03-08 16:40:10.238314+00:00,2026-03-08 16:40:10.238314+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines_master.csv,4,2026-03-08 16:40:10.238314+00:00,2026-03-08 16:40:10.238314+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,odds_snapshot.csv,1,2026-03-08 15:32:58.054054+00:00,2026-03-08 15:32:58.054054+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines.csv,2,2026-03-08 15:32:58.054054+00:00,2026-03-08 15:32:58.054054+00:00,OK
401825569,,158,2294,Nebraska Cornhuskers,Iowa Hawkeyes,consensus,,-5.5,-5.5,,134.5,134.5,,,ESPN,market_lines_master.csv,4,2026-03-08 15:32:58.054054+00:00,2026-03-08 15:32:58.054054+00:00,OK
