kenpom_rank,team_name,conference,games,wins,losses,adj_o,adj_d,adj_em,barthag,seed,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,two_p_pct,two_pd_pct,three_p_pct,three_pd_pct,three_pr,three_prd,adj_tempo,wab
127,Montana St.,BSky,32,18,14,110.9,107.4,3.5,0.5933,,53.6,51.7,14.7,15.7,27.0,28.2,30.2,29.6,53.1,51.8,36.1,34.3,44.7,34.3,65.9,-8.1
128,UC Santa Barbara,BW,32,18,14,113.6,110.0,3.6,0.5933,,54.7,52.6,18.7,16.8,31.0,25.5,36.8,42.4,53.6,53.5,37.4,33.9,44.1,35.7,64.3,-9.1
129,Southern Illinois,MVC,32,16,16,102.5,99.3,3.2,0.5888,,49.2,49.0,17.0,18.5,30.9,27.3,31.3,31.4,52.2,51.5,27.8,30.4,29.2,41.5,69.0,-9.5
130,Wright St.,Horz,34,23,11,112.4,109.0,3.4,0.5859,14.0,54.4,52.1,16.3,16.5,33.2,29.2,38.0,33.5,54.5,52.9,36.1,33.6,33.7,34.2,67.0,-6.6
131,Toledo,MAC,34,19,15,114.6,111.2,3.4,0.5852,,54.5,54.3,14.7,17.8,29.5,33.7,30.5,26.6,54.0,56.1,37.0,34.4,32.5,40.0,67.9,-9.0
132,Fresno St.,MWC,32,13,19,107.0,103.8,3.2,0.5852,,50.6,51.5,18.1,18.2,27.9,30.6,33.8,28.6,52.3,55.7,32.1,30.7,40.9,44.0,68.3,-10.3
133,Memphis,Amer,32,13,19,107.9,104.8,3.1,0.5828,,48.7,48.7,18.9,18.5,35.3,35.6,34.7,42.4,49.4,51.0,31.6,30.5,33.7,43.2,70.0,-9.6
134,Bradley,MVC,33,21,12,110.8,107.8,3.0,0.5772,,51.0,52.6,13.8,19.3,27.3,28.2,36.1,37.8,49.2,51.3,35.8,36.3,40.4,40.0,67.5,-6.0
135,Murray St.,MVC,32,20,12,115.1,112.2,2.9,0.5737,,53.8,52.3,16.2,16.0,33.0,31.3,39.1,32.9,55.0,51.5,34.8,36.3,44.8,27.3,71.8,-5.4
136,Idaho,BSky,35,21,14,108.8,106.2,2.6,0.5705,15.0,51.9,50.3,15.0,15.2,28.9,24.2,34.8,39.2,52.0,49.3,34.5,34.8,46.8,35.8,67.4,-8.9
137,UAB,Amer,32,20,12,108.5,106.0,2.5,0.5667,,48.4,50.0,12.5,16.1,32.5,27.7,36.4,28.7,51.3,50.7,27.8,32.6,30.5,39.2,69.3,-6.2
138,Northern Colorado,BSky,32,20,12,112.3,109.8,2.5,0.5639,,55.7,50.1,15.4,12.4,27.2,24.2,27.5,38.8,58.1,52.3,35.0,30.7,41.5,35.0,68.5,-7.0
139,Boston College,ACC,31,11,20,103.7,101.5,2.2,0.5618,,47.0,48.9,15.4,14.9,28.3,28.6,32.4,34.6,49.1,49.6,29.4,31.9,42.4,39.0,66.0,-10.0
140,North Texas,Amer,33,19,14,103.1,101.2,1.9,0.5538,,46.0,48.4,16.7,21.3,33.5,32.4,39.6,45.1,47.4,49.8,28.7,30.9,32.3,38.6,65.0,-7.3
141,Penn St.,B10,32,12,20,113.8,111.7,2.1,0.5517,,53.0,58.4,15.6,17.7,25.9,31.1,33.8,27.5,55.8,58.6,32.4,38.8,38.1,43.4,67.5,-7.2
142,Troy,SB,33,22,11,110.7,109.0,1.7,0.5435,13.0,51.9,50.1,17.0,16.9,34.8,31.6,36.3,32.1,53.7,52.0,33.2,31.3,45.6,38.4,65.1,-6.1
143,Temple,Amer,32,16,16,111.7,110.1,1.6,0.5406,,50.2,50.7,13.7,15.5,29.8,30.3,40.6,35.5,50.0,51.5,33.6,32.8,35.7,35.9,64.9,-10.3
144,Central Arkansas,ASun,34,22,12,109.6,108.1,1.5,0.5405,,54.0,54.9,15.4,19.0,28.8,27.4,31.2,30.1,54.7,57.3,35.5,35.2,48.7,52.3,67.9,-6.6
145,Arkansas St.,SB,32,20,12,109.8,108.5,1.3,0.5348,,51.7,50.3,19.8,14.9,38.2,27.0,39.1,37.0,53.6,50.8,32.9,32.9,44.9,38.8,72.1,-7.3
146,Kennesaw St.,CUSA,34,21,13,110.8,109.5,1.3,0.5338,14.0,50.7,48.5,16.7,16.1,35.5,31.3,45.1,47.5,50.8,47.0,33.7,33.9,42.9,38.3,71.3,-8.0
147,Penn,Ivy,29,18,11,106.6,105.4,1.2,0.5315,14.0,50.3,51.7,15.4,17.8,30.3,30.5,35.2,27.5,46.2,54.4,38.7,31.7,35.0,39.3,69.0,-6.0
148,Navy,Pat,33,26,7,106.5,105.4,1.1,0.5283,,53.2,48.0,16.8,18.3,31.6,26.9,39.6,25.6,52.9,50.4,36.0,30.1,33.1,45.8,65.2,-4.2
149,Loyola Marymount,WCC,32,15,17,106.5,105.4,1.1,0.5281,,51.8,48.9,17.5,16.6,26.7,32.0,31.1,32.5,51.6,47.2,34.8,34.6,40.4,36.2,67.2,-10.1
150,Robert Morris,Horz,33,22,11,110.0,108.9,1.1,0.5278,,54.9,50.0,18.6,15.9,37.5,28.8,28.0,40.1,53.5,50.2,38.0,33.2,40.7,36.0,64.5,-6.7
151,Eastern Washington,BSky,33,14,19,113.2,112.1,1.1,0.527,,53.7,54.9,17.7,16.2,31.3,30.8,36.1,37.3,53.6,56.3,35.9,35.2,34.7,39.0,67.8,-12.1
152,Rhode Island,A10,32,16,16,104.2,103.3,0.9,0.5243,,50.1,50.4,19.2,21.1,31.0,31.8,38.4,42.6,52.8,49.3,31.1,34.7,43.5,41.5,65.8,-9.5
153,Bowling Green,MAC,32,18,14,106.0,105.1,0.9,0.5232,,51.8,51.0,16.5,18.4,28.7,26.9,37.0,37.2,51.9,51.6,34.4,33.5,34.2,41.2,68.2,-9.7
154,St. Bonaventure,A10,34,17,17,113.1,112.3,0.8,0.5204,,52.4,53.3,16.8,17.1,34.5,29.8,30.0,33.9,50.8,52.8,37.4,36.0,31.3,40.7,67.1,-10.0
155,Cornell,Ivy,28,15,13,119.8,119.0,0.8,0.5173,,58.5,55.9,16.0,15.1,30.2,30.6,30.2,37.2,59.7,55.7,38.3,37.5,51.6,38.3,71.4,-8.3
156,Kent St.,MAC,33,24,9,110.7,110.0,0.7,0.5159,,51.9,52.1,18.1,16.4,35.8,29.6,44.3,39.8,51.0,51.9,35.3,34.9,45.0,42.7,70.6,-3.9
157,Middle Tennessee,CUSA,32,17,15,109.7,109.1,0.6,0.515,,51.6,51.0,17.1,15.0,30.7,28.5,32.7,35.7,52.3,51.0,33.8,33.9,45.3,35.3,65.5,-8.8
158,Austin Peay,ASun,31,22,9,108.7,108.2,0.5,0.5125,,53.0,52.2,15.4,17.9,29.7,28.9,37.6,32.8,53.0,53.9,35.3,33.2,38.0,40.8,69.2,-5.3
159,Portland St.,BSky,31,20,11,103.1,102.6,0.5,0.5124,,50.6,48.8,16.9,18.0,30.0,26.4,37.1,42.8,51.5,49.0,32.6,32.3,34.4,39.7,67.8,-6.3
