as_of_date,conference,team,conf_w,conf_l,conf_pct,overall_w,overall_l,overall_pct,streak,generated_at,conference_name,pipeline_run_id
20260304,West Coast Conference,Pepperdine Waves,0,0,0,8,21,0.276,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,,Piedmont Lions,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,West Coast Conference,Portland Pilots,0,0,0,11,18,0.379,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,Big Sky Conference,Portland State Vikings,0,0,0,18,9,0.667,0,2026-03-04T22:22:32Z,Big Sky Conference,22692149656
20260304,Southwestern Athletic Conference,Prairie View A&M Panthers,0,0,0,11,16,0.407,0,2026-03-04T22:22:32Z,Southwestern Athletic Conference,22692149656
20260304,Big South Conference,Presbyterian Blue Hose,0,0,0,12,16,0.429,0,2026-03-04T22:22:32Z,Big South Conference,22692149656
20260304,Big East,Providence Friars,0,0,0,13,14,0.481,0,2026-03-04T22:22:32Z,Big East,22692149656
20260304,,Puget Sound Loggers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Big Ten,Purdue Boilermakers,0,0,0,20,7,0.741,0,2026-03-04T22:22:32Z,Big Ten,22692149656
20260304,ASUN Conference,Queens University Royals,0,0,0,17,11,0.607,0,2026-03-04T22:22:32Z,ASUN Conference,22692149656
20260304,Metro Atlantic Athletic Conference,Quinnipiac Bobcats,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,Big South Conference,Radford Highlanders,0,0,0,14,15,0.483,0,2026-03-04T22:22:32Z,Big South Conference,22692149656
20260304,,Regis Pride,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Regis (CO) REGIS UNIVERSITY,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Rhodes Lynx,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Metro Atlantic Athletic Conference,Rider Broncs,0,0,0,4,23,0.148,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,Horizon League,Robert Morris Colonials,0,0,0,20,9,0.69,0,2026-03-04T22:22:32Z,Horizon League,22692149656
20260304,,Rockford Regents,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Metro Atlantic Athletic Conference,Sacred Heart Pioneers,0,0,0,12,17,0.414,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,Conference USA,Sam Houston Bearkats,0,0,0,20,7,0.741,0,2026-03-04T22:22:32Z,Conference USA,22692149656
20260304,Southern Conference,Samford Bulldogs,0,0,0,17,12,0.586,0,2026-03-04T22:22:32Z,Southern Conference,22692149656
20260304,West Coast Conference,San Francisco Dons,0,0,0,15,14,0.517,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,Big West Conference,UC Santa Barbara Gauchos,0,0,0,16,12,0.571,0,2026-03-04T22:22:32Z,Big West Conference,22692149656
20260304,West Coast Conference,Santa Clara Broncos,0,0,0,22,7,0.759,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,,Schreiner Mountaineers,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Southland Conference,SE Louisiana Lions,0,0,0,9,20,0.31,0,2026-03-04T22:22:32Z,Southland Conference,22692149656
20260304,Ohio Valley Conference,Southeast Missouri State Redhawks,0,0,0,19,10,0.655,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,West Coast Conference,Seattle U Redhawks,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,West Coast Conference,22692149656
20260304,Big East,Seton Hall Pirates,0,0,0,18,10,0.643,0,2026-03-04T22:22:32Z,Big East,22692149656
20260304,,Shaw Bears,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Metro Atlantic Athletic Conference,Siena Saints,0,0,0,18,11,0.621,0,2026-03-04T22:22:32Z,Metro Atlantic Athletic Conference,22692149656
20260304,,Siena Heights Saints,0,0,0,0,2,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,,Simpson College (IA) Storm,0,0,0,0,1,0.0,0,2026-03-04T22:22:32Z,,22692149656
20260304,Ohio Valley Conference,SIU Edwardsville Cougars,0,0,0,17,12,0.586,0,2026-03-04T22:22:32Z,Ohio Valley Conference,22692149656
20260304,Atlantic Coast Conference,SMU Mustangs,0,0,0,17,10,0.63,0,2026-03-04T22:22:32Z,Atlantic Coast Conference,22692149656
20260304,Mid-Eastern Athletic Conference,South Carolina State Bulldogs,0,0,0,8,19,0.296,0,2026-03-04T22:22:32Z,Mid-Eastern Athletic Conference,22692149656
